site DOY count mined cover DOP Wtemp sample GP PR DM EC-A EC-L DES-L DF
VF-3 1.419510634 0 1 0.397880601 -0.091599899 -1.669749835 4 1 0 0 0 0 0 0
R-1 1.257482125 2 0 -0.447615676 -0.091599899 0.179616118 4 1 0 0 0 0 0 0
R-2 1.297989252 0 0 0.596820901 2.015197787 0.041603733 4 1 0 0 0 0 0 0
R-3 1.297989252 0 0 1.342847027 2.015197787 -0.427638374 4 1 0 0 0 0 0 0
R-4 1.257482125 2 0 -0.944966426 -0.091599899 -0.096408651 4 1 0 0 0 0 0 0
R-5 1.257482125 2 0 0.497350751 -0.091599899 -0.850876353 4 1 0 0 0 0 0 0
R-6 0.973932234 7 0 0.149205225 -2.198397586 0.915682169 4 1 0 0 0 0 0 0
R-7 1.257482125 0 0 1.889932853 -0.091599899 -0.924482958 4 1 0 0 0 0 0 0
VF-4 1.419510634 0 1 -1.591522402 -0.091599899 0.924882994 4 1 0 0 0 0 0 0
R-8 0.973932234 2 0 -0.149205225 -2.198397586 1.863367209 4 1 0 0 0 0 0 0
R-9 0.973932234 0 0 -0.049735075 2.015197787 0.593653271 4 1 0 0 0 0 0 0
R-10 1.257482125 10 0 1.193641802 -0.091599899 -1.246511856 4 1 0 0 0 0 0 0
R-11 1.257482125 3 0 1.790462703 -0.091599899 0.72246483 4 1 0 0 0 0 0 0
VF-5 1.419510634 0 1 -1.541787327 -0.091599899 0.032402908 4 1 0 0 0 0 0 0
VF-6 1.460017761 0 1 -0.397880601 -0.091599899 0.510845841 4 1 0 0 0 0 0 0
R-12 1.257482125 2 0 0.795761201 -0.091599899 -0.188416908 4 1 0 0 0 0 0 0
VF-7 1.419510634 0 1 -0.696291051 -0.091599899 2.056584547 4 1 0 0 0 0 0 0
VF-9 1.460017761 0 1 0.447615676 -0.091599899 0.768468959 4 1 0 0 0 0 0 0
VF-8 1.460017761 0 1 -0.696291051 -0.091599899 -1.734155614 4 1 0 0 0 0 0 0
VF-10 1.419510634 0 1 -0.795761201 -0.091599899 0.308427677 4 1 0 0 0 0 0 0
VF-11 1.460017761 0 1 -0.646555976 -0.091599899 -0.722064794 4 1 0 0 0 0 0 0
VF-1 -1.497002529 0 1 -1.442317177 -0.595683397 -1.229378612 1 0 1 0 0 0 0 0
VF-2 -1.497002529 0 1 0.29841045 -0.595683397 0.084765289 1 0 1 0 0 0 0 0
VF-3 -1.294466893 0 1 0.397880601 -1.191366794 1.014176271 1 0 1 0 0 0 0 0
R-1 -2.712216348 4 0 -0.447615676 0 -3.023357951 1 0 1 0 0 0 0 0
R-2 -0.686859984 0 0 0.596820901 0.595683397 -0.144345326 1 0 1 0 0 0 0 0
R-3 -0.686859984 0 0 1.342847027 0.595683397 -0.014660072 1 0 1 0 0 0 0 0
R-4 -0.970409875 0 0 -0.944966426 -0.595683397 -0.44694425 1 0 1 0 0 0 0 0
R-5 -0.970409875 0 0 0.497350751 -0.595683397 -0.602566554 1 0 1 0 0 0 0 0
R-6 -0.767874239 1 0 0.149205225 0 -0.092471224 1 0 1 0 0 0 0 0
R-7 -1.578016784 0 0 1.889932853 1.787050192 -0.248093528 1 0 1 0 0 0 0 0
VF-4 -1.294466893 0 1 -1.591522402 -1.191366794 2.004107039 1 0 1 0 0 0 0 0
R-8 -1.578016784 0 0 -0.149205225 1.787050192 1.169798575 1 0 1 0 0 0 0 0
R-9 -1.497002529 0 0 -0.049735075 -1.191366794 -0.792771592 1 0 1 0 0 0 0 0
R-10 -1.578016784 1 0 1.193641802 1.787050192 -0.658763497 1 0 1 0 0 0 0 0
R-11 -1.537509657 0 0 1.790462703 -1.191366794 -0.101116908 1 0 1 0 0 0 0 0
VF-5 -1.091931257 0 1 -1.541787327 0.595683397 0.88881386 1 0 1 0 0 0 0 0
VF-6 -1.294466893 0 1 -0.397880601 -1.191366794 0.25767896 1 0 1 0 0 0 0 0
R-12 -0.767874239 0 0 0.795761201 0 0.214450542 1 0 1 0 0 0 0 0
VF-7 -1.091931257 0 1 -0.696291051 0.595683397 0.339812954 1 0 1 0 0 0 0 0
VF-9 -1.091931257 0 1 0.447615676 0.595683397 -0.170282376 1 0 1 0 0 0 0 0
VF-8 -1.091931257 0 1 -0.696291051 0.595683397 -0.377778782 1 0 1 0 0 0 0 0
VF-10 -1.294466893 0 1 -0.795761201 -1.191366794 1.238964044 1 0 1 0 0 0 0 0
VF-11 -1.091931257 0 1 -0.646555976 0.595683397 0.689963138 1 0 1 0 0 0 0 0
VF-1 -0.322295839 0 1 -1.442317177 -0.301823307 0.239069426 2 0 1 0 0 0 0 0
VF-2 -0.322295839 1 1 0.29841045 -0.301823307 1.338788788 2 0 1 0 0 0 0 0
VF-3 -0.484324348 0 1 0.397880601 -0.301823307 0.294055395 2 0 1 0 0 0 0 0
R-1 -0.524831475 0 0 -0.447615676 -0.301823307 -1.364687976 2 0 1 0 0 0 0 0
R-2 -0.200774457 0 0 0.596820901 3.169144721 1.412103412 2 0 1 0 0 0 0 0
R-3 -0.200774457 0 0 1.342847027 3.169144721 -0.402433535 2 0 1 0 0 0 0 0
R-4 -0.524831475 0 0 -0.944966426 -0.301823307 -1.11725112 2 0 1 0 0 0 0 0
R-5 -0.524831475 0 0 0.497350751 -0.301823307 -0.860649935 2 0 1 0 0 0 0 0
R-6 -0.443817221 2 0 0.149205225 -0.301823307 0.101604506 2 0 1 0 0 0 0 0
R-7 -0.524831475 0 0 1.889932853 -0.301823307 -1.108086792 2 0 1 0 0 0 0 0
VF-4 -0.484324348 0 1 -1.591522402 -0.301823307 2.209399949 2 0 1 0 0 0 0 0
R-8 -0.443817221 3 0 -0.149205225 -0.301823307 0.394863003 2 0 1 0 0 0 0 0
R-9 -0.443817221 0 0 -0.049735075 -0.301823307 -0.429926519 2 0 1 0 0 0 0 0
R-10 -0.524831475 0 0 1.193641802 -0.301823307 -1.465495584 2 0 1 0 0 0 0 0
R-11 -0.524831475 0 0 1.790462703 -0.301823307 -0.23747563 2 0 1 0 0 0 0 0
VF-5 -0.443817221 0 1 -1.541787327 -0.301823307 0.147426146 2 0 1 0 0 0 0 0
VF-6 -0.484324348 0 1 -0.397880601 -0.301823307 -0.05418907 2 0 1 0 0 0 0 0
R-12 -0.443817221 0 0 0.795761201 -0.301823307 0.074111522 2 0 1 0 0 0 0 0
VF-7 -0.443817221 0 1 -0.696291051 -0.301823307 -1.016443511 2 0 1 0 0 0 0 0
VF-9 -0.484324348 0 1 0.447615676 -0.301823307 -0.439090847 2 0 1 0 0 0 0 0
VF-8 -0.484324348 1 1 -0.696291051 -0.301823307 -0.081682054 2 0 1 0 0 0 0 0
VF-10 -0.484324348 0 1 -0.795761201 -0.301823307 1.998620405 2 0 1 0 0 0 0 0
VF-11 -0.484324348 0 1 -0.646555976 -0.301823307 0.367370019 2 0 1 0 0 0 0 0
VF-1 0.649875216 0 1 -1.442317177 1.658312395 -0.826482546 3 0 1 0 0 0 0 0
VF-2 0.649875216 0 1 0.29841045 1.658312395 0.195819483 3 0 1 0 0 0 0 0
VF-3 0.649875216 0 1 0.397880601 -1.658312395 -0.161628779 3 0 1 0 0 0 0 0
R-1 0.163789689 2 0 -0.447615676 0 -0.583417728 3 0 1 0 0 0 0 0
R-2 0.609368088 0 0 0.596820901 0 0.946460832 3 0 1 0 0 0 0 0
R-3 1.297989252 4 0 1.342847027 1.658312395 0.56041671 3 0 1 0 0 0 0 0
R-4 0.609368088 2 0 -0.944966426 0 0.782034632 3 0 1 0 0 0 0 0
R-5 0.609368088 0 0 0.497350751 0 0.102882934 3 0 1 0 0 0 0 0
R-6 0.123282561 0 0 0.149205225 0 0.453182231 3 0 1 0 0 0 0 0
R-7 0.082775434 0 0 1.889932853 0 0.052840178 3 0 1 0 0 0 0 0
VF-4 0.649875216 0 1 -1.591522402 -1.658312395 0.639055327 3 0 1 0 0 0 0 0
R-8 0.123282561 0 0 -0.149205225 0 0.631906362 3 0 1 0 0 0 0 0
R-9 0.123282561 0 0 -0.049735075 0 -0.354650841 3 0 1 0 0 0 0 0
R-10 0.082775434 0 0 1.193641802 0 -0.647758415 3 0 1 0 0 0 0 0
R-11 0.082775434 0 0 1.790462703 0 1.396845642 3 0 1 0 0 0 0 0
VF-5 0.649875216 0 1 -1.541787327 1.658312395 1.511229086 3 0 1 0 0 0 0 0
VF-6 0.163789689 0 1 -0.397880601 0 -1.905976297 3 0 1 0 0 0 0 0
R-12 0.082775434 0 0 0.795761201 0 0.174372587 3 0 1 0 0 0 0 0
VF-7 0.649875216 0 1 -0.696291051 -1.658312395 1.368249781 3 0 1 0 0 0 0 0
VF-9 0.163789689 0 1 0.447615676 0 -1.755848027 3 0 1 0 0 0 0 0
VF-8 0.163789689 3 1 -0.696291051 0 -1.484187348 3 0 1 0 0 0 0 0
VF-10 0.649875216 0 1 -0.795761201 -1.658312395 0.417437405 3 0 1 0 0 0 0 0
VF-11 0.163789689 0 1 -0.646555976 0 -1.512783209 3 0 1 0 0 0 0 0
VF-1 1.379003507 0 1 -1.442317177 -0.091599899 -1.034892866 4 0 1 0 0 0 0 0
VF-2 1.379003507 0 1 0.29841045 -0.091599899 -0.022802046 4 0 1 0 0 0 0 0
VF-3 1.419510634 0 1 0.397880601 -0.091599899 -1.669749835 4 0 1 0 0 0 0 0
R-1 1.257482125 1 0 -0.447615676 -0.091599899 0.179616118 4 0 1 0 0 0 0 0
R-2 1.297989252 0 0 0.596820901 2.015197787 0.041603733 4 0 1 0 0 0 0 0
R-3 1.297989252 0 0 1.342847027 2.015197787 -0.427638374 4 0 1 0 0 0 0 0
R-4 1.257482125 1 0 -0.944966426 -0.091599899 -0.096408651 4 0 1 0 0 0 0 0
R-5 1.257482125 0 0 0.497350751 -0.091599899 -0.850876353 4 0 1 0 0 0 0 0
R-6 0.973932234 1 0 0.149205225 -2.198397586 0.915682169 4 0 1 0 0 0 0 0
R-7 1.257482125 0 0 1.889932853 -0.091599899 -0.924482958 4 0 1 0 0 0 0 0
VF-4 1.419510634 0 1 -1.591522402 -0.091599899 0.924882994 4 0 1 0 0 0 0 0
R-8 0.973932234 0 0 -0.149205225 -2.198397586 1.863367209 4 0 1 0 0 0 0 0
R-9 0.973932234 0 0 -0.049735075 2.015197787 0.593653271 4 0 1 0 0 0 0 0
R-10 1.257482125 0 0 1.193641802 -0.091599899 -1.246511856 4 0 1 0 0 0 0 0
R-11 1.257482125 0 0 1.790462703 -0.091599899 0.72246483 4 0 1 0 0 0 0 0
VF-5 1.419510634 0 1 -1.541787327 -0.091599899 0.032402908 4 0 1 0 0 0 0 0
VF-6 1.460017761 0 1 -0.397880601 -0.091599899 0.510845841 4 0 1 0 0 0 0 0
R-12 1.257482125 0 0 0.795761201 -0.091599899 -0.188416908 4 0 1 0 0 0 0 0
VF-7 1.419510634 0 1 -0.696291051 -0.091599899 2.056584547 4 0 1 0 0 0 0 0
VF-9 1.460017761 0 1 0.447615676 -0.091599899 0.768468959 4 0 1 0 0 0 0 0
VF-8 1.460017761 0 1 -0.696291051 -0.091599899 -1.734155614 4 0 1 0 0 0 0 0
VF-10 1.419510634 0 1 -0.795761201 -0.091599899 0.308427677 4 0 1 0 0 0 0 0
VF-11 1.460017761 0 1 -0.646555976 -0.091599899 -0.722064794 4 0 1 0 0 0 0 0
VF-1 -1.497002529 0 1 -1.442317177 -0.595683397 -1.229378612 1 0 0 1 0 0 0 0
VF-2 -1.497002529 0 1 0.29841045 -0.595683397 0.084765289 1 0 0 1 0 0 0 0
VF-3 -1.294466893 0 1 0.397880601 -1.191366794 1.014176271 1 0 0 1 0 0 0 0
R-1 -2.712216348 3 0 -0.447615676 0 -3.023357951 1 0 0 1 0 0 0 0
R-2 -0.686859984 4 0 0.596820901 0.595683397 -0.144345326 1 0 0 1 0 0 0 0
R-3 -0.686859984 1 0 1.342847027 0.595683397 -0.014660072 1 0 0 1 0 0 0 0
R-4 -0.970409875 1 0 -0.944966426 -0.595683397 -0.44694425 1 0 0 1 0 0 0 0
R-5 -0.970409875 6 0 0.497350751 -0.595683397 -0.602566554 1 0 0 1 0 0 0 0
R-6 -0.767874239 5 0 0.149205225 0 -0.092471224 1 0 0 1 0 0 0 0
R-7 -1.578016784 0 0 1.889932853 1.787050192 -0.248093528 1 0 0 1 0 0 0 0
VF-4 -1.294466893 0 1 -1.591522402 -1.191366794 2.004107039 1 0 0 1 0 0 0 0
R-8 -1.578016784 0 0 -0.149205225 1.787050192 1.169798575 1 0 0 1 0 0 0 0
R-9 -1.497002529 0 0 -0.049735075 -1.191366794 -0.792771592 1 0 0 1 0 0 0 0
R-10 -1.578016784 1 0 1.193641802 1.787050192 -0.658763497 1 0 0 1 0 0 0 0
R-11 -1.537509657 0 0 1.790462703 -1.191366794 -0.101116908 1 0 0 1 0 0 0 0
VF-5 -1.091931257 0 1 -1.541787327 0.595683397 0.88881386 1 0 0 1 0 0 0 0
VF-6 -1.294466893 0 1 -0.397880601 -1.191366794 0.25767896 1 0 0 1 0 0 0 0
R-12 -0.767874239 13 0 0.795761201 0 0.214450542 1 0 0 1 0 0 0 0
VF-7 -1.091931257 0 1 -0.696291051 0.595683397 0.339812954 1 0 0 1 0 0 0 0
VF-9 -1.091931257 3 1 0.447615676 0.595683397 -0.170282376 1 0 0 1 0 0 0 0
VF-8 -1.091931257 0 1 -0.696291051 0.595683397 -0.377778782 1 0 0 1 0 0 0 0
VF-10 -1.294466893 0 1 -0.795761201 -1.191366794 1.238964044 1 0 0 1 0 0 0 0
VF-11 -1.091931257 0 1 -0.646555976 0.595683397 0.689963138 1 0 0 1 0 0 0 0
VF-1 -0.322295839 0 1 -1.442317177 -0.301823307 0.239069426 2 0 0 1 0 0 0 0
VF-2 -0.322295839 1 1 0.29841045 -0.301823307 1.338788788 2 0 0 1 0 0 0 0
VF-3 -0.484324348 0 1 0.397880601 -0.301823307 0.294055395 2 0 0 1 0 0 0 0
R-1 -0.524831475 2 0 -0.447615676 -0.301823307 -1.364687976 2 0 0 1 0 0 0 0
R-2 -0.200774457 6 0 0.596820901 3.169144721 1.412103412 2 0 0 1 0 0 0 0
R-3 -0.200774457 4 0 1.342847027 3.169144721 -0.402433535 2 0 0 1 0 0 0 0
R-4 -0.524831475 0 0 -0.944966426 -0.301823307 -1.11725112 2 0 0 1 0 0 0 0
R-5 -0.524831475 4 0 0.497350751 -0.301823307 -0.860649935 2 0 0 1 0 0 0 0
R-6 -0.443817221 4 0 0.149205225 -0.301823307 0.101604506 2 0 0 1 0 0 0 0
R-7 -0.524831475 2 0 1.889932853 -0.301823307 -1.108086792 2 0 0 1 0 0 0 0
VF-4 -0.484324348 0 1 -1.591522402 -0.301823307 2.209399949 2 0 0 1 0 0 0 0
R-8 -0.443817221 2 0 -0.149205225 -0.301823307 0.394863003 2 0 0 1 0 0 0 0
R-9 -0.443817221 0 0 -0.049735075 -0.301823307 -0.429926519 2 0 0 1 0 0 0 0
R-10 -0.524831475 2 0 1.193641802 -0.301823307 -1.465495584 2 0 0 1 0 0 0 0
R-11 -0.524831475 2 0 1.790462703 -0.301823307 -0.23747563 2 0 0 1 0 0 0 0
VF-5 -0.443817221 0 1 -1.541787327 -0.301823307 0.147426146 2 0 0 1 0 0 0 0
VF-6 -0.484324348 0 1 -0.397880601 -0.301823307 -0.05418907 2 0 0 1 0 0 0 0
R-12 -0.443817221 3 0 0.795761201 -0.301823307 0.074111522 2 0 0 1 0 0 0 0
VF-7 -0.443817221 0 1 -0.696291051 -0.301823307 -1.016443511 2 0 0 1 0 0 0 0
VF-9 -0.484324348 0 1 0.447615676 -0.301823307 -0.439090847 2 0 0 1 0 0 0 0
VF-8 -0.484324348 0 1 -0.696291051 -0.301823307 -0.081682054 2 0 0 1 0 0 0 0
VF-10 -0.484324348 1 1 -0.795761201 -0.301823307 1.998620405 2 0 0 1 0 0 0 0
VF-11 -0.484324348 0 1 -0.646555976 -0.301823307 0.367370019 2 0 0 1 0 0 0 0
VF-1 0.649875216 2 1 -1.442317177 1.658312395 -0.826482546 3 0 0 1 0 0 0 0
VF-2 0.649875216 6 1 0.29841045 1.658312395 0.195819483 3 0 0 1 0 0 0 0
VF-3 0.649875216 0 1 0.397880601 -1.658312395 -0.161628779 3 0 0 1 0 0 0 0
R-1 0.163789689 3 0 -0.447615676 0 -0.583417728 3 0 0 1 0 0 0 0
R-2 0.609368088 3 0 0.596820901 0 0.946460832 3 0 0 1 0 0 0 0
R-3 1.297989252 2 0 1.342847027 1.658312395 0.56041671 3 0 0 1 0 0 0 0
R-4 0.609368088 0 0 -0.944966426 0 0.782034632 3 0 0 1 0 0 0 0
R-5 0.609368088 4 0 0.497350751 0 0.102882934 3 0 0 1 0 0 0 0
R-6 0.123282561 2 0 0.149205225 0 0.453182231 3 0 0 1 0 0 0 0
R-7 0.082775434 4 0 1.889932853 0 0.052840178 3 0 0 1 0 0 0 0
VF-4 0.649875216 0 1 -1.591522402 -1.658312395 0.639055327 3 0 0 1 0 0 0 0
R-8 0.123282561 5 0 -0.149205225 0 0.631906362 3 0 0 1 0 0 0 0
R-9 0.123282561 0 0 -0.049735075 0 -0.354650841 3 0 0 1 0 0 0 0
R-10 0.082775434 7 0 1.193641802 0 -0.647758415 3 0 0 1 0 0 0 0
R-11 0.082775434 1 0 1.790462703 0 1.396845642 3 0 0 1 0 0 0 0
VF-5 0.649875216 0 1 -1.541787327 1.658312395 1.511229086 3 0 0 1 0 0 0 0
VF-6 0.163789689 0 1 -0.397880601 0 -1.905976297 3 0 0 1 0 0 0 0
R-12 0.082775434 2 0 0.795761201 0 0.174372587 3 0 0 1 0 0 0 0
VF-7 0.649875216 0 1 -0.696291051 -1.658312395 1.368249781 3 0 0 1 0 0 0 0
VF-9 0.163789689 0 1 0.447615676 0 -1.755848027 3 0 0 1 0 0 0 0
VF-8 0.163789689 0 1 -0.696291051 0 -1.484187348 3 0 0 1 0 0 0 0
VF-10 0.649875216 0 1 -0.795761201 -1.658312395 0.417437405 3 0 0 1 0 0 0 0
VF-11 0.163789689 0 1 -0.646555976 0 -1.512783209 3 0 0 1 0 0 0 0
VF-1 1.379003507 1 1 -1.442317177 -0.091599899 -1.034892866 4 0 0 1 0 0 0 0
VF-2 1.379003507 3 1 0.29841045 -0.091599899 -0.022802046 4 0 0 1 0 0 0 0
VF-3 1.419510634 0 1 0.397880601 -0.091599899 -1.669749835 4 0 0 1 0 0 0 0
R-1 1.257482125 2 0 -0.447615676 -0.091599899 0.179616118 4 0 0 1 0 0 0 0
R-2 1.297989252 3 0 0.596820901 2.015197787 0.041603733 4 0 0 1 0 0 0 0
R-3 1.297989252 0 0 1.342847027 2.015197787 -0.427638374 4 0 0 1 0 0 0 0
R-4 1.257482125 0 0 -0.944966426 -0.091599899 -0.096408651 4 0 0 1 0 0 0 0
R-5 1.257482125 1 0 0.497350751 -0.091599899 -0.850876353 4 0 0 1 0 0 0 0
R-6 0.973932234 2 0 0.149205225 -2.198397586 0.915682169 4 0 0 1 0 0 0 0
R-7 1.257482125 1 0 1.889932853 -0.091599899 -0.924482958 4 0 0 1 0 0 0 0
VF-4 1.419510634 0 1 -1.591522402 -0.091599899 0.924882994 4 0 0 1 0 0 0 0
R-8 0.973932234 4 0 -0.149205225 -2.198397586 1.863367209 4 0 0 1 0 0 0 0
R-9 0.973932234 0 0 -0.049735075 2.015197787 0.593653271 4 0 0 1 0 0 0 0
R-10 1.257482125 5 0 1.193641802 -0.091599899 -1.246511856 4 0 0 1 0 0 0 0
R-11 1.257482125 0 0 1.790462703 -0.091599899 0.72246483 4 0 0 1 0 0 0 0
VF-5 1.419510634 0 1 -1.541787327 -0.091599899 0.032402908 4 0 0 1 0 0 0 0
VF-6 1.460017761 1 1 -0.397880601 -0.091599899 0.510845841 4 0 0 1 0 0 0 0
R-12 1.257482125 1 0 0.795761201 -0.091599899 -0.188416908 4 0 0 1 0 0 0 0
VF-7 1.419510634 1 1 -0.696291051 -0.091599899 2.056584547 4 0 0 1 0 0 0 0
VF-9 1.460017761 0 1 0.447615676 -0.091599899 0.768468959 4 0 0 1 0 0 0 0
VF-8 1.460017761 0 1 -0.696291051 -0.091599899 -1.734155614 4 0 0 1 0 0 0 0
VF-10 1.419510634 0 1 -0.795761201 -0.091599899 0.308427677 4 0 0 1 0 0 0 0
VF-11 1.460017761 0 1 -0.646555976 -0.091599899 -0.722064794 4 0 0 1 0 0 0 0
VF-1 -1.497002529 0 1 -1.442317177 -0.595683397 -1.229378612 1 0 0 0 1 0 0 0
VF-2 -1.497002529 2 1 0.29841045 -0.595683397 0.084765289 1 0 0 0 1 0 0 0
VF-3 -1.294466893 0 1 0.397880601 -1.191366794 1.014176271 1 0 0 0 1 0 0 0
