site mined cover sample DOP Wtemp DOY spp count
R-8 0 -0.149205225 3 0 0.631906362 0.123282561 EC-L 2
R-9 0 -0.049735075 3 0 -0.354650841 0.123282561 EC-L 0
R-10 0 1.193641802 3 0 -0.647758415 0.082775434 EC-L 0
R-11 0 1.790462703 3 0 1.396845642 0.082775434 EC-L 1
VF-5 1 -1.541787327 3 1.658312395 1.511229086 0.649875216 EC-L 0
VF-6 1 -0.397880601 3 0 -1.905976297 0.163789689 EC-L 0
R-12 0 0.795761201 3 0 0.174372587 0.082775434 EC-L 0
VF-7 1 -0.696291051 3 -1.658312395 1.368249781 0.649875216 EC-L 0
VF-9 1 0.447615676 3 0 -1.755848027 0.163789689 EC-L 0
VF-8 1 -0.696291051 3 0 -1.484187348 0.163789689 EC-L 0
VF-10 1 -0.795761201 3 -1.658312395 0.417437405 0.649875216 EC-L 0
VF-11 1 -0.646555976 3 0 -1.512783209 0.163789689 EC-L 0
VF-1 1 -1.442317177 4 -0.091599899 -1.034892866 1.379003507 EC-L 0
VF-2 1 0.29841045 4 -0.091599899 -0.022802046 1.379003507 EC-L 0
VF-3 1 0.397880601 4 -0.091599899 -1.669749835 1.419510634 EC-L 0
R-1 0 -0.447615676 4 -0.091599899 0.179616118 1.257482125 EC-L 13
R-2 0 0.596820901 4 2.015197787 0.041603733 1.297989252 EC-L 11
R-3 0 1.342847027 4 2.015197787 -0.427638374 1.297989252 EC-L 0
R-4 0 -0.944966426 4 -0.091599899 -0.096408651 1.257482125 EC-L 36
R-5 0 0.497350751 4 -0.091599899 -0.850876353 1.257482125 EC-L 9
R-6 0 0.149205225 4 -2.198397586 0.915682169 0.973932234 EC-L 6
R-7 0 1.889932853 4 -0.091599899 -0.924482958 1.257482125 EC-L 11
VF-4 1 -1.591522402 4 -0.091599899 0.924882994 1.419510634 EC-L 2
R-8 0 -0.149205225 4 -2.198397586 1.863367209 0.973932234 EC-L 6
R-9 0 -0.049735075 4 2.015197787 0.593653271 0.973932234 EC-L 0
R-10 0 1.193641802 4 -0.091599899 -1.246511856 1.257482125 EC-L 5
R-11 0 1.790462703 4 -0.091599899 0.72246483 1.257482125 EC-L 4
VF-5 1 -1.541787327 4 -0.091599899 0.032402908 1.419510634 EC-L 0
VF-6 1 -0.397880601 4 -0.091599899 0.510845841 1.460017761 EC-L 0
R-12 0 0.795761201 4 -0.091599899 -0.188416908 1.257482125 EC-L 9
VF-7 1 -0.696291051 4 -0.091599899 2.056584547 1.419510634 EC-L 0
VF-9 1 0.447615676 4 -0.091599899 0.768468959 1.460017761 EC-L 0
VF-8 1 -0.696291051 4 -0.091599899 -1.734155614 1.460017761 EC-L 0
VF-10 1 -0.795761201 4 -0.091599899 0.308427677 1.419510634 EC-L 0
VF-11 1 -0.646555976 4 -0.091599899 -0.722064794 1.460017761 EC-L 0
